survey_id,date,customer_id,location,score,comment,category
1,2025-04-05,197,Cuenca,6,neutral,Trato
2,2025-05-08,160,Manta,7,excelente atención,Trato
3,2024-04-08,780,Quito Norte,7,asesor muy cordial,Trato
4,2024-04-29,319,Cuenca,8,flujo ágil,Tiempo de espera
5,2024-04-16,763,Cuenca,9,tiempo razonable,Tiempo de espera
6,2024-09-17,159,Guayaquil Centro,7,higiene adecuada,Limpieza
7,2025-03-14,260,Manta,8,muy limpio,Limpieza
8,2024-05-02,445,Cuenca,9,resultado excelente,Calidad
9,2025-05-16,503,Cuenca,9,ordenado y pulcro,Limpieza
10,2024-05-30,602,Manta,3,instalaciones viejas,Instalaciones
11,2024-10-28,153,Cuenca,9,asesor muy cordial,Trato
12,2025-05-13,9,Guayaquil Norte,9,sin demoras,Tiempo de espera
13,2024-10-10,783,Quito Norte,10,asesor muy cordial,Trato
14,2024-07-18,439,Quito Norte,7,trato amable,Trato
15,2024-08-22,354,Guayaquil Centro,6,ni caro ni barato,Precio
16,2024-11-27,786,Guayaquil Norte,8,precio justo,Precio
17,2024-08-11,679,Guayaquil Norte,8,diagnóstico acertado,Calidad
18,2024-06-21,283,Quito Norte,10,tiempo razonable,Tiempo de espera
19,2025-06-27,107,Quito Sur,10,promociones útiles,Precio
20,2024-10-02,35,Quito Sur,9,trato amable,Trato
21,2025-08-01,611,Guayaquil Centro,10,producto funciona perfecto,Calidad
22,2024-07-14,53,Cuenca,10,diagnóstico acertado,Calidad
23,2024-04-10,222,Quito Sur,9,precio justo,Precio
24,2024-02-26,261,Guayaquil Norte,6,desorden,Limpieza
25,2024-08-25,211,Quito Norte,8,buena señalización,Instalaciones
26,2024-12-11,556,Guayaquil Centro,8,dentro de lo esperado,Tiempo de espera
27,2025-06-19,752,Cuenca,9,sala de espera excelente,Instalaciones
28,2025-08-26,432,Guayaquil Norte,6,neutral,Trato
29,2024-07-04,590,Manta,5,trato correcto,Trato
30,2024-11-20,76,Guayaquil Centro,8,asesor muy cordial,Trato
31,2024-04-18,640,Cuenca,8,espera moderada,Tiempo de espera
32,2025-08-07,373,Guayaquil Centro,7,sala de espera excelente,Instalaciones
33,2024-10-01,603,Quito Sur,4,respuesta fría,Trato
34,2025-02-15,424,Quito Sur,8,precio estándar,Precio
35,2024-06-03,86,Guayaquil Norte,10,excelente atención,Trato
36,2025-06-12,743,Quito Sur,10,sala de espera excelente,Instalaciones
37,2024-07-24,65,Manta,8,descuento aplicado,Precio
38,2024-10-28,455,Cuenca,6,funciona como se espera,Calidad
39,2024-06-12,94,Quito Norte,10,instalaciones modernas,Instalaciones
40,2024-08-08,140,Guayaquil Norte,8,higiene adecuada,Limpieza
41,2025-02-20,67,Cuenca,4,no solucionaron,Calidad
42,2024-01-23,290,Quito Sur,8,dentro de lo esperado,Tiempo de espera
43,2024-07-23,10,Manta,8,trato amable,Trato
44,2025-01-03,286,Guayaquil Norte,8,asesor muy cordial,Trato
45,2024-10-13,612,Quito Sur,9,sin demoras,Tiempo de espera
46,2024-08-26,743,Guayaquil Norte,7,instalaciones modernas,Instalaciones
47,2025-09-12,268,Quito Sur,10,excelente atención,Trato
48,2025-07-03,654,Quito Norte,7,ordenado y pulcro,Limpieza
49,2024-12-21,280,Cuenca,9,resultado excelente,Calidad
50,2025-02-24,570,Guayaquil Norte,8,producto funciona perfecto,Calidad
51,2024-12-06,664,Cuenca,3,falta señalización,Instalaciones
52,2024-01-21,757,Quito Norte,10,muy limpio,Limpieza
53,2024-05-12,210,Guayaquil Centro,8,asesor muy cordial,Trato
54,2025-02-07,49,Manta,7,ni caro ni barato,Precio
55,2024-02-07,95,Guayaquil Norte,3,instalaciones viejas,Instalaciones
56,2024-10-05,741,Guayaquil Norte,10,buena señalización,Instalaciones
57,2024-08-16,316,Manta,3,falta señalización,Instalaciones
58,2025-09-01,331,Manta,6,trato malo,Trato
59,2024-10-07,528,Guayaquil Norte,4,trato malo,Trato
60,2024-07-12,713,Guayaquil Centro,9,higiene adecuada,Limpieza
61,2025-06-03,759,Guayaquil Centro,5,ok,Instalaciones
62,2024-11-10,242,Guayaquil Norte,8,asesor muy cordial,Trato
63,2025-04-23,615,Guayaquil Centro,6,funciona como se espera,Calidad
64,2025-07-15,462,Manta,9,sala de espera excelente,Instalaciones
65,2024-10-05,514,Guayaquil Norte,8,áreas cómodas,Instalaciones
66,2025-04-07,743,Quito Sur,9,asesor muy cordial,Trato
67,2024-11-23,121,Guayaquil Centro,8,excelente atención,Trato
68,2025-05-26,723,Quito Sur,10,personal atento,Trato
69,2025-02-15,534,Manta,1,no escuchan,Trato
70,2025-06-30,228,Cuenca,7,ok,Instalaciones
71,2024-12-05,686,Guayaquil Centro,7,suficiente,Instalaciones
72,2025-05-18,31,Quito Norte,6,ni caro ni barato,Precio
73,2024-03-25,187,Manta,8,rápidos en atender,Tiempo de espera
74,2024-07-24,517,Quito Sur,7,rápidos en atender,Tiempo de espera
75,2025-02-09,531,Manta,6,instalaciones normales,Instalaciones
76,2025-03-09,374,Quito Norte,10,trato amable,Trato
77,2025-04-11,563,Quito Sur,8,buena señalización,Instalaciones
78,2025-01-10,782,Guayaquil Centro,6,muy caro,Precio
79,2024-04-12,219,Manta,6,limpieza adecuada,Limpieza
80,2024-06-28,585,Quito Norte,7,ordenado y pulcro,Limpieza
81,2024-07-15,186,Quito Norte,9,áreas cómodas,Instalaciones
82,2024-11-07,293,Manta,10,áreas cómodas,Instalaciones
83,2025-05-14,571,Cuenca,7,ok,Instalaciones
84,2025-02-19,118,Guayaquil Norte,8,excelente atención,Trato
85,2025-02-27,166,Guayaquil Norte,6,normal,Limpieza
86,2024-07-27,262,Cuenca,7,diagnóstico acertado,Calidad
87,2024-07-22,585,Cuenca,6,normal,Limpieza
88,2025-01-30,655,Manta,7,funciona como se espera,Calidad
89,2024-04-13,488,Quito Norte,6,falta señalización,Instalaciones
90,2024-09-25,689,Quito Norte,1,cobro excesivo,Precio
91,2024-09-17,591,Guayaquil Norte,7,espera moderada,Tiempo de espera
92,2024-10-20,511,Quito Sur,2,fila eterna,Tiempo de espera
93,2024-03-24,193,Guayaquil Centro,5,poco higiénico,Limpieza
94,2024-07-31,406,Quito Sur,1,demora innecesaria,Tiempo de espera
95,2025-04-01,430,Cuenca,9,todo impecable,Limpieza
96,2024-08-06,452,Quito Norte,9,tiempo razonable,Tiempo de espera
97,2024-06-12,284,Manta,10,resultado excelente,Calidad
98,2024-01-19,77,Guayaquil Centro,6,neutral,Trato
99,2024-04-24,482,Manta,9,buena relación valor-precio,Precio
100,2024-08-08,474,Quito Norte,8,todo impecable,Limpieza
101,2024-04-10,315,Quito Sur,6,neutral,Trato
102,2025-01-05,21,Quito Sur,5,trato malo,Trato
103,2024-04-29,800,Manta,8,todo impecable,Limpieza
104,2024-01-31,708,Quito Sur,8,rápidos en atender,Tiempo de espera
105,2025-02-10,772,Guayaquil Norte,8,todo impecable,Limpieza
106,2024-12-24,412,Quito Sur,7,precio estándar,Precio
107,2025-09-02,134,Quito Norte,8,todo impecable,Limpieza
108,2025-03-13,522,Cuenca,10,sin demoras,Tiempo de espera
109,2025-06-18,743,Quito Norte,9,higiene adecuada,Limpieza
110,2025-04-12,389,Quito Sur,7,excelente atención,Trato
111,2025-09-14,718,Quito Norte,7,ok en limpieza,Limpieza
112,2025-05-27,307,Cuenca,6,precio estándar,Precio
113,2024-02-11,692,Manta,8,precio justo,Precio
114,2024-03-25,56,Guayaquil Norte,8,rápidos en atender,Tiempo de espera
115,2024-03-04,454,Guayaquil Centro,8,higiene adecuada,Limpieza
116,2024-10-01,7,Guayaquil Centro,8,muy limpio,Limpieza
117,2024-10-01,798,Cuenca,8,trato amable,Trato
118,2024-09-13,433,Manta,8,rápidos en atender,Tiempo de espera
119,2025-08-17,482,Manta,9,asesor muy cordial,Trato
120,2025-04-22,560,Quito Sur,7,ok en limpieza,Limpieza
121,2025-05-17,125,Manta,10,personal atento,Trato
122,2024-07-05,679,Quito Norte,6,sucio,Limpieza
123,2024-02-10,428,Guayaquil Centro,7,calidad normal,Calidad
124,2025-07-04,78,Quito Sur,4,sin aire acondicionado,Instalaciones
125,2024-09-25,595,Guayaquil Centro,9,promociones útiles,Precio
126,2025-08-08,558,Quito Sur,5,poco amables,Trato
127,2024-11-25,13,Quito Sur,6,precio estándar,Precio
128,2024-04-13,525,Cuenca,10,trato amable,Trato
129,2024-03-21,110,Guayaquil Norte,8,precio justo,Precio
130,2024-06-29,490,Quito Norte,6,neutral,Trato
131,2024-09-18,555,Guayaquil Norte,5,ni caro ni barato,Precio
132,2024-01-16,741,Cuenca,5,normal,Limpieza
