tx_id,customer_id,product_id,date,quantity,revenue_usd
1,5,27,2025-07-17,1,43.15
2,600,8,2025-05-24,1,28.29
3,408,37,2024-06-02,1,31.96
4,428,55,2024-10-13,1,37.5
5,637,39,2024-04-23,1,44.44
6,389,55,2025-04-08,1,34.3
7,710,30,2024-10-21,1,37.38
8,741,23,2024-10-26,1,25.0
9,362,26,2025-06-22,1,20.21
10,569,39,2025-01-28,1,46.7
11,664,21,2024-01-07,1,53.97
12,764,55,2025-05-26,1,34.05
13,390,29,2024-11-03,1,44.76
14,189,35,2024-11-07,1,40.59
15,149,28,2025-08-12,1,27.77
16,387,38,2024-08-25,1,24.03
17,91,53,2024-12-04,3,116.72
18,332,54,2025-09-14,1,25.69
19,249,21,2024-07-28,1,58.13
20,437,58,2024-01-11,1,35.09
21,27,4,2024-09-19,1,58.72
22,579,58,2025-05-24,2,69.05
23,308,59,2025-07-03,4,148.53
24,793,20,2025-07-05,1,45.46
25,635,28,2025-06-13,1,25.52
26,530,47,2025-03-16,1,47.35
27,399,30,2025-01-01,3,111.61
28,42,39,2024-12-25,2,83.23
29,464,1,2024-03-10,3,160.3
30,538,15,2024-04-11,2,41.26
31,420,24,2025-05-27,1,26.94
32,411,42,2025-07-28,2,61.88
33,588,10,2024-07-11,1,24.3
34,432,32,2025-02-15,1,63.58
35,451,50,2025-08-24,3,66.26
36,352,45,2025-06-26,1,24.47
37,765,53,2024-04-04,1,41.19
38,175,24,2024-11-21,1,27.23
39,376,5,2024-11-14,6,233.15
40,525,12,2024-04-23,1,39.79
41,672,58,2024-10-28,3,97.46
42,707,22,2025-06-05,1,36.37
43,431,41,2024-06-09,2,133.5
44,537,19,2025-06-07,1,35.88
45,213,33,2024-07-11,1,30.92
46,423,12,2024-03-02,1,39.93
47,646,37,2025-09-09,1,31.91
48,110,23,2025-08-06,1,22.13
49,647,41,2024-02-13,1,79.65
50,709,27,2024-01-11,3,124.69
51,3,20,2025-07-20,3,120.98
52,5,59,2024-11-07,1,38.77
53,408,54,2024-04-10,1,25.22
54,601,1,2024-01-31,1,52.6
55,202,12,2025-05-24,2,74.79
56,788,36,2025-08-03,1,48.15
57,273,56,2025-06-28,1,29.97
58,527,10,2025-08-11,1,27.82
59,204,27,2025-09-08,1,45.88
60,125,10,2024-06-09,1,26.41
61,531,49,2025-06-05,2,56.89
62,110,2,2024-04-12,1,74.33
63,78,11,2025-06-19,1,35.46
64,503,53,2025-04-23,1,45.37
65,628,28,2024-03-04,4,118.11
66,666,1,2025-08-15,1,52.39
67,331,10,2024-08-31,1,27.32
68,363,18,2024-06-22,2,75.8
69,34,18,2024-04-11,1,32.51
70,597,5,2024-12-23,1,39.5
71,197,29,2025-01-29,1,42.66
72,21,4,2024-08-13,1,51.34
73,406,38,2024-02-14,1,24.95
74,451,4,2024-09-01,2,116.37
75,256,15,2024-02-15,2,45.68
76,164,60,2025-08-24,2,36.2
77,178,21,2024-01-07,1,59.41
78,467,20,2025-03-04,1,41.09
79,618,17,2025-05-22,1,46.13
80,70,16,2025-02-03,2,77.63
81,692,46,2025-08-21,1,36.58
82,227,27,2024-11-12,1,48.23
83,409,57,2025-05-11,1,17.83
84,23,51,2024-09-06,1,55.63
85,90,12,2024-06-23,1,39.26
86,367,25,2024-07-10,1,31.64
87,8,57,2024-10-24,1,17.21
88,406,36,2025-01-06,4,191.22
89,118,22,2025-06-30,1,36.0
90,395,22,2025-02-16,3,102.42
91,667,5,2024-05-06,1,39.56
92,433,53,2024-12-25,1,43.97
93,568,16,2025-01-31,1,39.39
94,196,30,2024-10-17,1,34.73
95,353,16,2025-03-22,1,38.52
96,36,18,2024-01-26,1,32.23
97,350,52,2024-06-08,1,27.61
98,248,46,2024-05-12,1,38.12
99,95,13,2024-10-03,1,45.27
100,558,54,2024-05-10,1,26.45
101,569,29,2025-04-23,1,38.08
102,246,11,2025-01-11,1,36.23
103,362,14,2025-02-18,1,32.0
104,386,41,2025-08-17,1,76.32
105,214,20,2025-05-02,1,42.28
106,517,14,2024-08-20,2,58.94
107,464,44,2024-05-14,1,26.87
108,724,17,2025-09-02,2,101.75
109,451,38,2025-01-11,1,28.22
110,548,16,2025-02-17,1,36.0
111,623,33,2024-08-05,1,26.64
112,129,56,2024-05-05,2,58.2
113,695,33,2024-04-03,1,31.91
114,556,55,2024-10-03,1,35.9
115,754,50,2025-01-29,1,26.86
116,30,43,2025-08-04,1,38.53
117,149,20,2024-01-16,1,42.15
118,400,46,2024-03-29,1,37.59
119,712,12,2024-08-25,1,36.49
120,329,13,2024-04-21,1,51.11
121,70,36,2025-01-05,3,133.97
122,513,49,2024-10-31,1,30.85
123,198,5,2024-11-14,2,78.2
124,91,15,2024-10-22,1,19.58
125,130,53,2025-02-12,1,37.9
126,290,23,2025-02-17,1,24.9
127,476,50,2024-05-15,1,23.58
128,284,12,2024-01-31,2,83.01
129,376,44,2024-12-25,1,31.8
130,423,2,2025-04-18,2,142.68
131,255,55,2025-02-14,1,32.11
132,361,58,2024-04-10,2,74.91
133,187,19,2024-04-27,2,65.56
134,278,59,2025-09-15,1,38.46
135,752,15,2024-02-11,3,65.49
136,415,3,2025-09-15,1,61.52
137,166,28,2024-07-21,3,79.16
138,776,20,2024-06-08,1,38.06
139,390,48,2024-02-10,1,23.31
140,566,20,2024-07-02,3,119.92
141,579,54,2024-08-21,1,26.21
142,584,32,2025-06-17,1,63.92
143,261,60,2025-03-21,1,20.92
144,687,44,2025-08-12,1,30.4
145,358,60,2024-01-01,1,18.07
146,115,54,2024-10-20,1,25.58
147,44,57,2025-08-22,1,19.94
148,622,45,2024-02-18,1,23.85
149,251,44,2024-04-23,3,86.15
150,39,51,2024-11-22,2,115.09
151,216,50,2024-12-19,1,23.96
152,768,59,2024-03-29,2,78.2
153,428,45,2025-02-07,3,67.01
154,766,40,2024-08-14,1,39.15
155,288,34,2024-04-02,1,28.46
156,358,28,2025-03-29,1,26.54
157,349,45,2025-05-30,4,92.67
158,757,45,2025-04-08,1,22.46
159,521,4,2024-07-29,3,154.48
160,439,44,2025-06-08,2,52.29
161,797,9,2025-05-16,1,29.3
162,781,13,2024-02-14,1,45.67
163,720,53,2025-07-26,1,45.16
164,268,12,2025-07-13,1,35.74
165,168,50,2024-08-29,1,24.02
166,557,17,2024-09-12,1,45.25
167,61,11,2025-01-01,1,37.12
168,356,27,2024-04-04,1,44.18
