event_id,customer_id,date,event_type
1,523,2024-10-18,click
2,447,2024-12-08,visita
3,311,2024-02-20,click
4,76,2024-09-10,soporte
5,529,2025-07-08,visita
6,556,2025-08-03,visita
7,285,2024-09-25,visita
8,240,2024-12-08,visita
9,247,2024-08-03,visita
10,799,2025-08-17,visita
11,36,2025-02-24,click
12,52,2025-01-09,visita
13,68,2025-06-27,visita
14,461,2025-07-24,visita
15,718,2024-02-29,visita
16,460,2024-04-14,visita
17,662,2024-10-27,visita
18,599,2025-08-23,click
19,98,2025-04-25,visita
20,256,2024-02-25,click
21,366,2024-05-20,visita
22,422,2025-05-28,click
23,142,2024-06-26,visita
24,597,2024-03-31,visita
25,726,2025-08-12,visita
26,297,2025-02-04,visita
27,782,2024-07-25,visita
28,533,2024-05-14,visita
29,443,2024-03-18,visita
30,143,2025-02-19,visita
31,222,2024-02-04,visita
32,674,2025-06-06,visita
33,268,2024-12-23,visita
34,555,2024-12-22,visita
35,541,2024-09-14,visita
36,496,2025-07-25,carrito
37,694,2024-01-18,visita
38,795,2025-06-06,visita
39,406,2024-12-21,visita
40,255,2025-07-28,visita
41,766,2025-08-18,click
42,85,2024-01-11,visita
43,468,2024-01-13,visita
44,388,2025-07-27,checkout
45,221,2024-06-08,click
46,760,2025-01-31,visita
47,464,2025-04-07,carrito
48,198,2025-03-22,click
49,739,2024-07-18,visita
50,92,2024-05-29,visita
51,585,2025-05-01,visita
52,334,2025-02-19,visita
53,625,2024-09-20,carrito
54,749,2025-06-11,carrito
55,664,2024-07-01,click
56,110,2024-07-25,visita
57,211,2024-06-04,visita
58,473,2025-08-28,visita
59,82,2024-10-16,visita
60,664,2025-02-16,click
61,630,2024-03-05,visita
62,645,2024-11-20,visita
63,421,2024-01-13,click
64,498,2024-06-12,visita
65,168,2024-11-19,click
66,331,2025-01-31,visita
67,230,2024-09-29,visita
68,673,2025-04-14,carrito
69,395,2024-10-13,click
70,131,2025-02-27,visita
71,92,2025-09-11,visita
72,788,2025-01-18,click
73,219,2024-12-01,visita
74,613,2025-04-27,visita
75,95,2024-10-19,visita
76,486,2025-01-25,visita
77,450,2024-10-23,visita
78,273,2025-04-16,soporte
79,534,2025-04-04,visita
80,460,2024-12-28,click
81,546,2024-06-29,carrito
82,57,2024-08-30,checkout
83,761,2024-04-24,visita
84,130,2025-01-26,carrito
85,402,2024-01-01,click
86,436,2024-09-25,click
87,495,2024-04-12,visita
88,381,2024-12-23,click
89,36,2024-12-22,visita
90,250,2025-08-22,visita
91,15,2024-10-26,visita
92,507,2025-08-13,visita
93,200,2024-11-03,visita
94,711,2024-03-21,click
95,711,2024-06-28,carrito
96,223,2025-01-20,visita
97,102,2024-03-18,visita
98,336,2024-07-02,carrito
99,340,2025-03-17,click
100,725,2025-06-29,click
101,412,2025-01-14,visita
102,303,2024-06-11,checkout
103,57,2025-03-25,click
104,476,2025-03-29,click
105,292,2024-08-19,visita
106,162,2024-09-24,click
107,328,2024-04-26,carrito
108,617,2025-06-15,checkout
109,581,2024-03-24,visita
110,453,2024-01-07,carrito
111,710,2025-02-17,click
112,559,2025-01-15,visita
113,139,2024-08-29,carrito
114,391,2025-08-15,click
115,344,2024-09-14,click
116,771,2024-06-05,click
117,285,2024-10-12,visita
118,206,2025-01-20,checkout
119,209,2025-03-01,carrito
120,54,2024-02-25,click
121,581,2025-01-03,carrito
122,490,2025-09-07,click
123,192,2025-09-03,visita
124,63,2025-08-13,carrito
125,472,2024-10-18,checkout
126,40,2024-02-05,click
127,207,2024-06-22,carrito
128,784,2024-08-12,visita
129,152,2024-06-25,visita
130,107,2024-12-05,click
131,605,2025-04-08,click
132,421,2025-02-01,visita
133,251,2024-01-07,click
134,494,2024-12-14,visita
135,145,2025-02-14,carrito
136,280,2024-11-27,click
137,86,2024-07-20,click
138,786,2024-04-12,click
139,634,2025-03-23,click
140,557,2024-06-11,click
141,451,2024-08-30,visita
142,445,2024-03-16,visita
143,226,2025-05-01,checkout
144,742,2024-01-01,checkout
145,494,2025-02-11,click
146,654,2024-05-03,visita
147,271,2025-06-21,visita
148,466,2024-05-11,visita
149,233,2024-01-10,soporte
150,275,2025-07-12,click
151,208,2024-05-06,click
152,243,2025-03-31,visita
153,352,2025-02-16,visita
154,769,2024-08-09,visita
155,114,2024-02-27,visita
156,250,2024-12-05,visita
157,569,2024-11-16,soporte
158,432,2024-12-31,click
159,462,2024-08-20,visita
160,495,2024-07-16,visita
161,505,2024-06-27,carrito
162,580,2025-08-13,visita
163,382,2024-07-15,visita
164,66,2024-12-04,click
165,361,2025-01-07,carrito
166,580,2024-09-14,click
167,785,2024-08-21,visita
168,119,2024-05-31,visita
169,753,2025-05-27,visita
170,744,2024-11-18,visita
171,185,2024-01-05,checkout
172,673,2025-08-31,visita
173,691,2024-03-05,visita
174,310,2025-03-28,visita
175,285,2024-06-30,visita
176,391,2024-03-16,click
177,224,2025-02-13,visita
178,647,2025-05-25,click
179,657,2025-09-07,visita
180,689,2024-07-20,visita
181,515,2025-04-21,visita
182,516,2025-06-26,visita
183,91,2025-08-27,click
184,212,2025-04-19,click
185,168,2024-12-06,visita
186,769,2024-03-10,click
187,771,2025-07-19,visita
188,674,2025-01-04,carrito
189,199,2024-07-31,visita
190,94,2025-07-21,visita
191,562,2024-07-19,click
192,463,2024-09-30,visita
193,598,2025-04-21,visita
194,537,2024-06-18,click
195,60,2025-03-18,visita
196,578,2024-07-28,visita
